,country,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations,vaccines
1,Albania,2021-01-11,,,,64.0,Pfizer/BioNTech
2,Albania,2021-01-12,128.0,128.0,,64.0,Pfizer/BioNTech
3,Albania,2021-01-13,188.0,188.0,,63.0,Pfizer/BioNTech
4,Albania,2021-01-14,266.0,266.0,,66.0,Pfizer/BioNTech
5,Albania,2021-01-15,308.0,308.0,,62.0,Pfizer/BioNTech
6,Albania,2021-01-16,369.0,369.0,,62.0,Pfizer/BioNTech
7,Albania,2021-01-17,405.0,405.0,,58.0,Pfizer/BioNTech
8,Albania,2021-01-18,447.0,447.0,,55.0,Pfizer/BioNTech
9,Albania,2021-01-19,483.0,483.0,,51.0,Pfizer/BioNTech
10,Albania,2021-01-20,519.0,519.0,,47.0,Pfizer/BioNTech
11,Albania,2021-01-21,549.0,549.0,,40.0,Pfizer/BioNTech
12,Albania,2021-01-22,,,,34.0,Pfizer/BioNTech
13,Albania,2021-01-23,,,,26.0,Pfizer/BioNTech
14,Albania,2021-01-24,,,,21.0,Pfizer/BioNTech
15,Albania,2021-01-25,,,,15.0,Pfizer/BioNTech
16,Albania,2021-01-26,,,,9.0,Pfizer/BioNTech
17,Albania,2021-01-27,,,,4.0,Pfizer/BioNTech
24,Albania,2021-02-03,,,,12.0,Pfizer/BioNTech
25,Albania,2021-02-04,,,,24.0,Pfizer/BioNTech
26,Albania,2021-02-05,,,,35.0,Pfizer/BioNTech
27,Albania,2021-02-06,,,,47.0,Pfizer/BioNTech
28,Albania,2021-02-07,,,,59.0,Pfizer/BioNTech
29,Albania,2021-02-08,,,,71.0,Pfizer/BioNTech
30,Albania,2021-02-09,1127.0,689.0,438.0,82.0,Pfizer/BioNTech
31,Albania,2021-02-10,,,,81.0,Pfizer/BioNTech
32,Albania,2021-02-11,,,,79.0,Pfizer/BioNTech
33,Albania,2021-02-12,,,,78.0,Pfizer/BioNTech
34,Albania,2021-02-13,,,,76.0,Pfizer/BioNTech
